"T","U:0","U:1","U:2","alphat","p","p_rgh","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1,0,0,0,1.1807,1.1807,1,0,0,0.25,0.1
1,1.0001,0,0,0,1.1807,1.1807,1,0.002,0.002,0.25,0.1
1,1.0002,0,0,0,1.1807,1.1807,1,0.004,0.004,0.25,0.1
1,1.0003,0,0,0,1.1807,1.1807,1,0.006,0.006,0.25,0.1
1,1.0004,0,0,0,1.1807,1.1807,1,0.008,0.008,0.25,0.1
1,1.0005,0,0,0,1.1808,1.1808,1,0.01,0.01,0.25,0.1
1,1.0008,0,0,0,1.1807,1.1807,1,0.012,0.012,0.25,0.1
1,1.001,0,0,0,1.1806,1.1806,1,0.014,0.014,0.25,0.1
1,1.0013,0,0,0,1.1806,1.1806,1,0.016,0.016,0.25,0.1
1,1.0015,0,0,0,1.1805,1.1805,1,0.018,0.018,0.25,0.1
1,1.0018,0,0,0,1.1804,1.1804,1,0.02,0.02,0.25,0.1
1,1.0023,0,0,0,1.1802,1.1802,1,0.022,0.022,0.25,0.1
1,1.0027,0,0,0,1.1799,1.1799,1,0.024,0.024,0.25,0.1
1,1.0031,0,0,0,1.1797,1.1797,1,0.026,0.026,0.25,0.1
1,1.0036,0,0,0,1.1794,1.1794,1,0.028,0.028,0.25,0.1
1,1.004,0,0,0,1.1792,1.1792,1,0.03,0.03,0.25,0.1
1,1.0047,0,0,0,1.1787,1.1787,1,0.032,0.032,0.25,0.1
1,1.0053,0,0,0,1.1783,1.1783,1,0.034,0.034,0.25,0.1
1,1.0059,0,0,0,1.1778,1.1778,1,0.036,0.036,0.25,0.1
1,1.0066,0,0,0,1.1774,1.1774,1,0.038,0.038,0.25,0.1
1,1.0072,0,0,0,1.177,1.177,1,0.04,0.04,0.25,0.1
1,1.008,0,0,0,1.1763,1.1763,1,0.042,0.042,0.25,0.1
1,1.0088,0,0,0,1.1757,1.1757,1,0.044,0.044,0.25,0.1
1,1.0096,0,0,0,1.1751,1.1751,1,0.046,0.046,0.25,0.1
0.99999,1.0104,0,0,0,1.1745,1.1745,1,0.048,0.048,0.25,0.1
0.99999,1.0112,0,0,0,1.1739,1.1739,1,0.05,0.05,0.25,0.1
0.99999,1.0121,0,0,0,1.1731,1.1731,1,0.052,0.052,0.25,0.1
0.99999,1.0131,0,0,0,1.1723,1.1723,1,0.054,0.054,0.25,0.1
0.99999,1.0141,0,0,0,1.1716,1.1716,1,0.056,0.056,0.25,0.1
0.99999,1.015,0,0,0,1.1708,1.1708,1,0.058,0.058,0.25,0.1
0.99999,1.016,0,0,0,1.17,1.17,1,0.06,0.06,0.25,0.1
0.99999,1.0171,0,0,0,1.1691,1.1691,1,0.062,0.062,0.25,0.1
0.99999,1.0182,0,0,0,1.1681,1.1681,1,0.064,0.064,0.25,0.1
0.99998,1.0193,0,0,0,1.1672,1.1672,1,0.066,0.066,0.25,0.1
0.99998,1.0205,0,0,0,1.1663,1.1663,1,0.068,0.068,0.25,0.1
0.99998,1.0216,0,0,0,1.1653,1.1653,1,0.07,0.07,0.25,0.1
0.99998,1.0228,0,0,0,1.1643,1.1643,1,0.072,0.072,0.25,0.1
