"T","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1,0,0,1,0,0,0.25,0.1
1,1.0001,2.5029e-10,0,1,0.002,0.002,0.25,0.1
1,1.0002,5.0059e-10,0,1,0.004,0.004,0.25,0.1
1,1.0004,7.5088e-10,0,1,0.006,0.006,0.25,0.1
1,1.0005,1.0012e-09,0,1,0.008,0.008,0.25,0.1
1,1.0006,1.2515e-09,0,1,0.01,0.01,0.25,0.1
1,1.0009,1.7026e-09,0,1,0.012,0.012,0.25,0.1
1,1.0012,2.1537e-09,0,1,0.014,0.014,0.25,0.1
1,1.0015,2.6048e-09,0,1,0.016,0.016,0.25,0.1
1,1.0018,3.0559e-09,0,1,0.018,0.018,0.25,0.1
1,1.0021,3.507e-09,0,1,0.02,0.02,0.25,0.1
1,1.0026,3.8068e-09,0,1,0.022,0.022,0.25,0.1
1,1.0031,4.1066e-09,0,1,0.024,0.024,0.25,0.1
1,1.0036,4.4063e-09,0,1,0.026,0.026,0.25,0.1
1,1.0041,4.7061e-09,0,1,0.028,0.028,0.25,0.1
1,1.0047,5.0059e-09,0,1,0.03,0.03,0.25,0.1
1,1.0054,5.0059e-09,0,1,0.032,0.032,0.25,0.1
1,1.0061,5.0059e-09,0,1,0.034,0.034,0.25,0.1
1,1.0069,5.0059e-09,0,1,0.036,0.036,0.25,0.1
1,1.0076,5.0059e-09,0,1,0.038,0.038,0.25,0.1
1,1.0083,5.0059e-09,0,1,0.04,0.04,0.25,0.1
1,1.0092,5.0059e-09,0,1,0.042,0.042,0.25,0.1
1,1.0102,5.0059e-09,0,1,0.044,0.044,0.25,0.1
0.99999,1.0111,5.0059e-09,0,1,0.046,0.046,0.25,0.1
0.99999,1.012,5.0059e-09,0,1,0.048,0.048,0.25,0.1
0.99999,1.013,5.0059e-09,0,1,0.05,0.05,0.25,0.1
0.99999,1.0141,5.5064e-09,0,1,0.052,0.052,0.25,0.1
0.99999,1.0152,6.007e-09,0,1,0.054,0.054,0.25,0.1
0.99999,1.0163,6.5076e-09,0,1,0.056,0.056,0.25,0.1
0.99999,1.0175,7.0082e-09,0,1,0.058,0.058,0.25,0.1
0.99999,1.0186,7.5088e-09,0,1,0.06,0.06,0.25,0.1
0.99999,1.0199,8.0094e-09,0,1,0.062,0.062,0.25,0.1
0.99998,1.0212,8.51e-09,0,1,0.064,0.064,0.25,0.1
0.99998,1.0225,9.0105e-09,0,1,0.066,0.066,0.25,0.1
0.99998,1.0238,9.5111e-09,0,1,0.068,0.068,0.25,0.1
0.99998,1.0251,1.0012e-08,0,1,0.07,0.07,0.25,0.1
0.99998,1.0266,9.5228e-09,0,1,0.072,0.072,0.25,0.1
0.99997,1.0281,9.0338e-09,0,1,0.074,0.074,0.25,0.1
0.99997,1.0296,8.5449e-09,0,1,0.076,0.076,0.25,0.1
0.99997,1.031,8.0559e-09,0,1,0.078,0.078,0.25,0.1
0.99997,1.0325,7.567e-09,0,1,0.08,0.08,0.25,0.1
0.99996,1.0342,7.567e-09,0,1,0.082,0.082,0.25,0.1
0.99996,1.0358,7.567e-09,0,1,0.084,0.084,0.25,0.1
0.99995,1.0374,7.567e-09,0,1,0.086,0.086,0.25,0.1
0.99995,1.0391,7.567e-09,0,1,0.088,0.088,0.25,0.1
0.99994,1.0407,7.567e-09,0,1,0.09,0.09,0.25,0.1
0.99994,1.0425,8.0559e-09,0,1,0.092,0.092,0.25,0.1
0.99993,1.0443,8.5449e-09,0,1,0.094,0.094,0.25,0.1
0.99993,1.046,9.0338e-09,0,1,0.096,0.096,0.25,0.1
0.99992,1.0478,9.5228e-09,0,1,0.098,0.098,0.25,0.1
0.99992,1.0496,1.0012e-08,0,1,0.1,0.1,0.25,0.1
0.99991,1.0515,1.0524e-08,0,1,0.102,0.102,0.25,0.1
0.9999,1.0534,1.1036e-08,0,1,0.104,0.104,0.25,0.1
0.99989,1.0553,1.1548e-08,0,1,0.106,0.106,0.25,0.1
0.99989,1.0572,1.2061e-08,0,1,0.108,0.108,0.25,0.1
0.99988,1.0591,1.2573e-08,0,1,0.11,0.11,0.25,0.1
0.99987,1.0612,1.3062e-08,0,1,0.112,0.112,0.25,0.1
0.99986,1.0632,1.3551e-08,0,1,0.114,0.114,0.25,0.1
0.99985,1.0652,1.404e-08,0,1,0.116,0.116,0.25,0.1
0.99984,1.0672,1.4529e-08,0,1,0.118,0.118,0.25,0.1
0.99983,1.0692,1.5018e-08,0,1,0.12,0.12,0.25,0.1
0.99981,1.0714,1.4994e-08,0,1,0.122,0.122,0.25,0.1
0.9998,1.0735,1.4971e-08,0,1,0.124,0.124,0.25,0.1
0.99978,1.0756,1.4948e-08,0,1,0.126,0.126,0.25,0.1
0.99977,1.0777,1.4924e-08,0,1,0.128,0.128,0.25,0.1
0.99976,1.0798,1.4901e-08,0,1,0.13,0.13,0.25,0.1
0.99974,1.082,1.4901e-08,0,1,0.132,0.132,0.25,0.1
0.99972,1.0842,1.4901e-08,0,1,0.134,0.134,0.25,0.1
0.99971,1.0864,1.4901e-08,0,1,0.136,0.136,0.25,0.1
0.99969,1.0886,1.4901e-08,0,1,0.138,0.138,0.25,0.1
0.99967,1.0907,1.4901e-08,0,1,0.14,0.14,0.25,0.1
0.99965,1.093,1.5413e-08,0,1,0.142,0.142,0.25,0.1
0.99963,1.0953,1.5926e-08,0,1,0.144,0.144,0.25,0.1
0.99961,1.0975,1.6438e-08,0,1,0.146,0.146,0.25,0.1
0.99959,1.0998,1.695e-08,0,1,0.148,0.148,0.25,0.1
0.99956,1.102,1.7462e-08,0,1,0.15,0.15,0.25,0.1
0.99954,1.1043,1.7462e-08,0,1,0.152,0.152,0.25,0.1
0.99951,1.1066,1.7462e-08,0,1,0.154,0.154,0.25,0.1
0.99948,1.1089,1.7462e-08,0,1,0.156,0.156,0.25,0.1
0.99946,1.1112,1.7462e-08,0,1,0.158,0.158,0.25,0.1
0.99943,1.1135,1.7462e-08,0,1,0.16,0.16,0.25,0.1
0.9994,1.1158,1.7462e-08,0,1,0.162,0.162,0.25,0.1
0.99936,1.1182,1.7462e-08,0,1,0.164,0.164,0.25,0.1
0.99933,1.1205,1.7462e-08,0,1,0.166,0.166,0.25,0.1
0.9993,1.1228,1.7462e-08,0,1,0.168,0.168,0.25,0.1
0.99926,1.1252,1.7462e-08,0,1,0.17,0.17,0.25,0.1
0.99922,1.1275,1.7975e-08,0,1,0.172,0.172,0.25,0.1
0.99918,1.1299,1.8487e-08,0,1,0.174,0.174,0.25,0.1
0.99914,1.1322,1.8999e-08,0,1,0.176,0.176,0.25,0.1
0.9991,1.1346,1.9511e-08,0,1,0.178,0.178,0.25,0.1
0.99906,1.1369,2.0023e-08,0,1,0.18,0.18,0.25,0.1
0.99902,1.1393,2.0023e-08,0,1,0.182,0.182,0.25,0.1
0.99897,1.1416,2.0023e-08,0,1,0.184,0.184,0.25,0.1
0.99892,1.144,2.0023e-08,0,1,0.186,0.186,0.25,0.1
0.99887,1.1463,2.0023e-08,0,1,0.188,0.188,0.25,0.1
0.99882,1.1487,2.0023e-08,0,1,0.19,0.19,0.25,0.1
0.99877,1.151,2.0023e-08,0,1,0.192,0.192,0.25,0.1
0.99871,1.1534,2.0023e-08,0,1,0.194,0.194,0.25,0.1
0.99866,1.1557,2.0023e-08,0,1,0.196,0.196,0.25,0.1
0.9986,1.1581,2.0023e-08,0,1,0.198,0.198,0.25,0.1
0.99854,1.1604,2.0023e-08,0,1,0.2,0.2,0.25,0.1
0.99848,1.1628,2.0023e-08,0,1,0.202,0.202,0.25,0.1
0.99841,1.1651,2.0023e-08,0,1,0.204,0.204,0.25,0.1
0.99835,1.1674,2.0023e-08,0,1,0.206,0.206,0.25,0.1
0.99829,1.1698,2.0023e-08,0,1,0.208,0.208,0.25,0.1
0.99822,1.1721,2.0023e-08,0,1,0.21,0.21,0.25,0.1
0.99815,1.1744,2.0536e-08,0,1,0.212,0.212,0.25,0.1
0.99807,1.1767,2.1048e-08,0,1,0.214,0.214,0.25,0.1
0.998,1.179,2.156e-08,0,1,0.216,0.216,0.25,0.1
0.99792,1.1813,2.2072e-08,0,1,0.218,0.218,0.25,0.1
0.99785,1.1836,2.2585e-08,0,1,0.22,0.22,0.25,0.1
0.99776,1.1859,2.3074e-08,0,1,0.222,0.222,0.25,0.1
0.99768,1.1882,2.3562e-08,0,1,0.224,0.224,0.25,0.1
0.99759,1.1905,2.4051e-08,0,1,0.226,0.226,0.25,0.1
0.99751,1.1927,2.454e-08,0,1,0.228,0.228,0.25,0.1
0.99742,1.195,2.5029e-08,0,1,0.23,0.23,0.25,0.1
0.99733,1.1973,2.5006e-08,0,1,0.232,0.232,0.25,0.1
0.99723,1.1995,2.4983e-08,0,1,0.234,0.234,0.25,0.1
0.99714,1.2017,2.4959e-08,0,1,0.236,0.236,0.25,0.1
0.99704,1.204,2.4936e-08,0,1,0.238,0.238,0.25,0.1
0.99695,1.2062,2.4913e-08,0,1,0.24,0.24,0.25,0.1
0.99684,1.2084,2.4424e-08,0,1,0.242,0.242,0.25,0.1
0.99673,1.2106,2.3935e-08,0,1,0.244,0.244,0.25,0.1
0.99663,1.2128,2.3446e-08,0,1,0.246,0.246,0.25,0.1
0.99652,1.215,2.2957e-08,0,1,0.248,0.248,0.25,0.1
0.99642,1.2172,2.2468e-08,0,1,0.25,0.25,0.25,0.1
0.9963,1.2193,2.1979e-08,0,1,0.252,0.252,0.25,0.1
0.99618,1.2214,2.149e-08,0,1,0.254,0.254,0.25,0.1
0.99606,1.2236,2.1001e-08,0,1,0.256,0.256,0.25,0.1
0.99594,1.2257,2.0512e-08,0,1,0.258,0.258,0.25,0.1
0.99583,1.2279,2.0023e-08,0,1,0.26,0.26,0.25,0.1
0.9957,1.23,2.0023e-08,0,1,0.262,0.262,0.25,0.1
0.99557,1.232,2.0023e-08,0,1,0.264,0.264,0.25,0.1
0.99544,1.2341,2.0023e-08,0,1,0.266,0.266,0.25,0.1
0.99531,1.2362,2.0023e-08,0,1,0.268,0.268,0.25,0.1
0.99518,1.2383,2.0023e-08,0,1,0.27,0.27,0.25,0.1
0.99503,1.2403,2.0023e-08,0,1,0.272,0.272,0.25,0.1
0.99489,1.2424,2.0023e-08,0,1,0.274,0.274,0.25,0.1
0.99475,1.2444,2.0023e-08,0,1,0.276,0.276,0.25,0.1
0.99461,1.2464,2.0023e-08,0,1,0.278,0.278,0.25,0.1
0.99447,1.2485,2.0023e-08,0,1,0.28,0.28,0.25,0.1
0.99431,1.2504,2.0023e-08,0,1,0.282,0.282,0.25,0.1
0.99416,1.2524,2.0023e-08,0,1,0.284,0.284,0.25,0.1
0.994,1.2544,2.0023e-08,0,1,0.286,0.286,0.25,0.1
0.99385,1.2563,2.0023e-08,0,1,0.288,0.288,0.25,0.1
0.99369,1.2583,2.0023e-08,0,1,0.29,0.29,0.25,0.1
0.99353,1.2602,2.0512e-08,0,1,0.292,0.292,0.25,0.1
0.99336,1.2621,2.1001e-08,0,1,0.294,0.294,0.25,0.1
0.99319,1.264,2.149e-08,0,1,0.296,0.296,0.25,0.1
0.99303,1.2659,2.1979e-08,0,1,0.298,0.298,0.25,0.1
0.99286,1.2678,2.2468e-08,0,1,0.3,0.3,0.25,0.1
0.99268,1.2697,2.298e-08,0,1,0.302,0.302,0.25,0.1
0.9925,1.2715,2.3493e-08,0,1,0.304,0.304,0.25,0.1
0.99233,1.2734,2.4005e-08,0,1,0.306,0.306,0.25,0.1
0.99215,1.2752,2.4517e-08,0,1,0.308,0.308,0.25,0.1
0.99197,1.2771,2.5029e-08,0,1,0.31,0.31,0.25,0.1
0.99178,1.2788,2.454e-08,0,1,0.312,0.312,0.25,0.1
0.99159,1.2806,2.4051e-08,0,1,0.314,0.314,0.25,0.1
0.99139,1.2824,2.3562e-08,0,1,0.316,0.316,0.25,0.1
0.9912,1.2842,2.3074e-08,0,1,0.318,0.318,0.25,0.1
0.99101,1.286,2.2585e-08,0,1,0.32,0.32,0.25,0.1
0.99081,1.2877,2.2072e-08,0,1,0.322,0.322,0.25,0.1
0.99061,1.2894,2.156e-08,0,1,0.324,0.324,0.25,0.1
0.9904,1.2911,2.1048e-08,0,1,0.326,0.326,0.25,0.1
0.9902,1.2928,2.0536e-08,0,1,0.328,0.328,0.25,0.1
0.99,1.2945,2.0023e-08,0,1,0.33,0.33,0.25,0.1
0.98978,1.2962,1.9511e-08,0,1,0.332,0.332,0.25,0.1
0.98957,1.2979,1.8999e-08,0,1,0.334,0.334,0.25,0.1
0.98935,1.2995,1.8487e-08,0,1,0.336,0.336,0.25,0.1
0.98914,1.3012,1.7975e-08,0,1,0.338,0.338,0.25,0.1
0.98892,1.3028,1.7462e-08,0,1,0.34,0.34,0.25,0.1
0.98869,1.3044,1.7462e-08,0,1,0.342,0.342,0.25,0.1
0.98847,1.306,1.7462e-08,0,1,0.344,0.344,0.25,0.1
0.98824,1.3076,1.7462e-08,0,1,0.346,0.346,0.25,0.1
0.98801,1.3092,1.7462e-08,0,1,0.348,0.348,0.25,0.1
0.98779,1.3108,1.7462e-08,0,1,0.35,0.35,0.25,0.1
0.98755,1.3123,1.7975e-08,0,1,0.352,0.352,0.25,0.1
0.98731,1.3138,1.8487e-08,0,1,0.354,0.354,0.25,0.1
0.98707,1.3154,1.8999e-08,0,1,0.356,0.356,0.25,0.1
0.98683,1.3169,1.9511e-08,0,1,0.358,0.358,0.25,0.1
0.98659,1.3184,2.0023e-08,0,1,0.36,0.36,0.25,0.1
0.98634,1.3199,2.0524e-08,0,1,0.362,0.362,0.25,0.1
0.98609,1.3214,2.1025e-08,0,1,0.364,0.364,0.25,0.1
0.98584,1.3228,2.1525e-08,0,1,0.366,0.366,0.25,0.1
0.98559,1.3243,2.2026e-08,0,1,0.368,0.368,0.25,0.1
0.98534,1.3258,2.2526e-08,0,1,0.37,0.37,0.25,0.1
0.98508,1.3272,2.2526e-08,0,1,0.372,0.372,0.25,0.1
0.98481,1.3286,2.2526e-08,0,1,0.374,0.374,0.25,0.1
0.98455,1.33,2.2526e-08,0,1,0.376,0.376,0.25,0.1
0.98429,1.3314,2.2526e-08,0,1,0.378,0.378,0.25,0.1
0.98403,1.3328,2.2526e-08,0,1,0.38,0.38,0.25,0.1
0.98376,1.3342,2.1525e-08,0,1,0.382,0.382,0.25,0.1
0.98348,1.3356,2.0524e-08,0,1,0.384,0.384,0.25,0.1
0.98321,1.3369,1.9523e-08,0,1,0.386,0.386,0.25,0.1
0.98294,1.3383,1.8522e-08,0,1,0.388,0.388,0.25,0.1
0.98266,1.3396,1.7521e-08,0,1,0.39,0.39,0.25,0.1
0.98238,1.3409,1.6519e-08,0,1,0.392,0.392,0.25,0.1
0.9821,1.3422,1.5518e-08,0,1,0.394,0.394,0.25,0.1
0.98182,1.3435,1.4517e-08,0,1,0.396,0.396,0.25,0.1
0.98153,1.3448,1.3516e-08,0,1,0.398,0.398,0.25,0.1
0.98125,1.3461,1.2515e-08,0,1,0.4,0.4,0.25,0.1
0.98096,1.3474,1.2014e-08,0,1,0.402,0.402,0.25,0.1
0.98066,1.3486,1.1513e-08,0,1,0.404,0.404,0.25,0.1
0.98037,1.3498,1.1013e-08,0,1,0.406,0.406,0.25,0.1
0.98007,1.3511,1.0512e-08,0,1,0.408,0.408,0.25,0.1
0.97978,1.3523,1.0012e-08,0,1,0.41,0.41,0.25,0.1
0.97948,1.3535,1.0512e-08,0,1,0.412,0.412,0.25,0.1
0.97917,1.3547,1.1013e-08,0,1,0.414,0.414,0.25,0.1
0.97887,1.3559,1.1513e-08,0,1,0.416,0.416,0.25,0.1
0.97856,1.3571,1.2014e-08,0,1,0.418,0.418,0.25,0.1
0.97826,1.3583,1.2515e-08,0,1,0.42,0.42,0.25,0.1
0.97795,1.3594,1.4016e-08,0,1,0.422,0.422,0.25,0.1
0.97763,1.3606,1.5518e-08,0,1,0.424,0.424,0.25,0.1
0.97732,1.3617,1.702e-08,0,1,0.426,0.426,0.25,0.1
0.97701,1.3629,1.8522e-08,0,1,0.428,0.428,0.25,0.1
0.9767,1.364,2.0023e-08,0,1,0.43,0.43,0.25,0.1
0.97637,1.3651,2.1025e-08,0,1,0.432,0.432,0.25,0.1
0.97605,1.3662,2.2026e-08,0,1,0.434,0.434,0.25,0.1
0.97573,1.3673,2.3027e-08,0,1,0.436,0.436,0.25,0.1
0.9754,1.3684,2.4028e-08,0,1,0.438,0.438,0.25,0.1
0.97508,1.3695,2.5029e-08,0,1,0.44,0.44,0.25,0.1
0.97475,1.3705,2.4529e-08,0,1,0.442,0.442,0.25,0.1
0.97442,1.3716,2.4028e-08,0,1,0.444,0.444,0.25,0.1
0.97409,1.3726,2.3528e-08,0,1,0.446,0.446,0.25,0.1
0.97376,1.3737,2.3027e-08,0,1,0.448,0.448,0.25,0.1
0.97342,1.3747,2.2526e-08,0,1,0.45,0.45,0.25,0.1
0.97308,1.3757,2.0524e-08,0,1,0.452,0.452,0.25,0.1
0.97274,1.3767,1.8522e-08,0,1,0.454,0.454,0.25,0.1
0.9724,1.3777,1.6519e-08,0,1,0.456,0.456,0.25,0.1
0.97206,1.3787,1.4517e-08,0,1,0.458,0.458,0.25,0.1
0.97172,1.3797,1.2515e-08,0,1,0.46,0.46,0.25,0.1
0.97137,1.3807,1.0512e-08,0,1,0.462,0.462,0.25,0.1
0.97102,1.3817,8.51e-09,0,1,0.464,0.464,0.25,0.1
0.97068,1.3826,6.5076e-09,0,1,0.466,0.466,0.25,0.1
0.97033,1.3836,4.5053e-09,0,1,0.468,0.468,0.25,0.1
0.96998,1.3845,2.5029e-09,0,1,0.47,0.47,0.25,0.1
0.96962,1.3855,3.0035e-09,0,1,0.472,0.472,0.25,0.1
0.96926,1.3864,3.5041e-09,0,1,0.474,0.474,0.25,0.1
0.96891,1.3873,4.0047e-09,0,1,0.476,0.476,0.25,0.1
0.96855,1.3882,4.5053e-09,0,1,0.478,0.478,0.25,0.1
0.96819,1.3891,5.0059e-09,0,1,0.48,0.48,0.25,0.1
0.96783,1.39,6.5076e-09,0,1,0.482,0.482,0.25,0.1
0.96746,1.3909,8.0094e-09,0,1,0.484,0.484,0.25,0.1
0.9671,1.3918,9.5111e-09,0,1,0.486,0.486,0.25,0.1
0.96673,1.3926,1.1013e-08,0,1,0.488,0.488,0.25,0.1
0.96637,1.3935,1.2515e-08,0,1,0.49,0.49,0.25,0.1
0.966,1.3944,1.3504e-08,0,1,0.492,0.492,0.25,0.1
0.96563,1.3952,1.4494e-08,0,1,0.494,0.494,0.25,0.1
0.96526,1.3961,1.5483e-08,0,1,0.496,0.496,0.25,0.1
0.96488,1.3969,1.6473e-08,0,1,0.498,0.498,0.25,0.1
0.96451,1.3977,1.7462e-08,0,1,0.5,0.5,0.25,0.1
0.96413,1.3985,1.7957e-08,0,1,0.502,0.502,0.25,0.1
0.96375,1.3994,1.8452e-08,0,1,0.504,0.504,0.25,0.1
0.96338,1.4002,1.8947e-08,0,1,0.506,0.506,0.25,0.1
0.963,1.401,1.9441e-08,0,1,0.508,0.508,0.25,0.1
